total pixels, size of ascii file (bytes), size of compressed binary file (bytes), size of decompressed ascii file (bytes), size of SVD.txt (bytes), rank, size of compressed binary SVD file (bytes), size of decompressed svd file ascii (bytes) 
22500, 80509, 22505, 80509, 855000, 27, 32515, 80659
22500, 80509, 22505, 80509, 855000, 28, 33719, 80659
22500, 80509, 22505, 80509, 855000, 29, 34923, 80659
22500, 80509, 22505, 80509, 855000, 30, 36127, 80659
22500, 80509, 22505, 80509, 855000, 31, 37331, 80659
22500, 80509, 22505, 80509, 855000, 32, 38535, 80659
22500, 80509, 22505, 80509, 855000, 33, 39739, 80659
22500, 80509, 22505, 80509, 855000, 34, 40943, 80659
22500, 80509, 22505, 80509, 855000, 35, 42147, 80659
22500, 80509, 22505, 80509, 855000, 36, 43351, 80659
22500, 80509, 22505, 80509, 855000, 37, 44555, 80659
22500, 80509, 22505, 80509, 855000, 38, 45759, 80659
22500, 80509, 22505, 80509, 855000, 39, 46963, 80659
22500, 80509, 22505, 80509, 855000, 40, 48167, 80659
22500, 80509, 22505, 80509, 855000, 41, 49371, 80659
22500, 80509, 22505, 80509, 855000, 42, 50575, 80659
22500, 80509, 22505, 80509, 855000, 43, 51779, 80659
22500, 80509, 22505, 80509, 855000, 44, 52983, 80659
22500, 80509, 22505, 80509, 855000, 45, 54187, 80659
22500, 80509, 22505, 80509, 855000, 46, 55391, 80659
22500, 80509, 22505, 80509, 855000, 47, 56595, 80659
22500, 80509, 22505, 80509, 855000, 48, 57799, 80659
22500, 80509, 22505, 80509, 855000, 49, 59003, 80659
22500, 80509, 22505, 80509, 855000, 50, 60207, 80659
22500, 80509, 22505, 80509, 855000, 51, 61411, 80659
22500, 80509, 22505, 80509, 855000, 52, 62615, 80659
22500, 80509, 22505, 80509, 855000, 53, 63819, 80659
22500, 80509, 22505, 80509, 855000, 54, 65023, 80659
22500, 80509, 22505, 80509, 855000, 55, 66227, 80659
22500, 80509, 22505, 80509, 855000, 56, 67431, 80659
22500, 80509, 22505, 80509, 855000, 57, 68635, 80659
22500, 80509, 22505, 80509, 855000, 58, 69839, 80659
22500, 80509, 22505, 80509, 855000, 59, 71043, 80659
22500, 80509, 22505, 80509, 855000, 60, 72247, 80659
22500, 80509, 22505, 80509, 855000, 61, 73451, 80659
22500, 80509, 22505, 80509, 855000, 62, 74655, 80659
22500, 80509, 22505, 80509, 855000, 63, 75859, 80659
22500, 80509, 22505, 80509, 855000, 64, 77063, 80659
22500, 80509, 22505, 80509, 855000, 65, 78267, 80659
